世代,kadai2 固定 w=0.9 平均,kadai5 LDIWM
0,274.4156915168219,268.6864434355647
1,234.85055202179882,235.4332746046648
2,206.02675722531603,205.71298567143316
3,190.3231110955257,182.35144558816742
4,179.6264207645817,170.72954678033264
5,175.3642434504185,170.2315460323937
6,166.86327985555891,169.5207164273948
7,164.86308408010103,164.31834831320293
8,164.86308408010103,164.01348710465172
9,164.29018899587234,160.3102751216065
10,164.29018899587234,159.91658934761392
11,164.29018899587234,156.4939251601358
12,163.21653514450446,153.94299125821783
13,161.0989426808493,153.44420478894875
14,161.0989426808493,153.42397010304126
15,161.0989426808493,151.27279234402607
16,159.35540943265065,151.27279234402607
17,159.35540943265065,148.25806867849008
18,155.51959884564494,146.74687092455622
19,155.51959884564494,146.74687092455622
20,149.78621768975944,146.74687092455622
21,147.9954617015192,146.74687092455622
22,147.9954617015192,146.49053972413225
23,147.9954617015192,146.49053972413225
24,147.9954617015192,146.49053972413225
25,147.52362378576348,146.0380957248978
26,146.8383234461199,146.0380957248978
27,144.976831257602,144.40434209813222
28,144.976831257602,142.98675613616075
29,142.86538001407638,138.80147424684634
30,141.95572846304364,138.80147424684634
31,141.06215908198536,138.80147424684634
32,141.06215908198536,138.80147424684634
33,140.78188385189057,138.80147424684634
34,140.78188385189057,138.80147424684634
35,138.34272536368945,138.80147424684634
36,138.34272536368945,138.80147424684634
37,138.34272536368945,138.80147424684634
38,138.34272536368945,138.80147424684634
39,136.3615192654109,138.80147424684634
40,135.5047943131802,138.80147424684634
41,135.5047943131802,137.20481931157767
42,135.5047943131802,137.14098429231294
43,135.5047943131802,137.14098429231294
44,135.5047943131802,137.14098429231294
45,135.5047943131802,137.14098429231294
46,135.5047943131802,136.85839821028253
47,135.5047943131802,136.85839821028253
48,133.9571075056462,136.85839821028253
49,133.9571075056462,136.85839821028253
50,133.9571075056462,136.85839821028253
51,133.9571075056462,136.85839821028253
52,133.9571075056462,136.85839821028253
53,133.9571075056462,136.85839821028253
54,132.4821751431469,136.38826286831562
55,132.4821751431469,136.30056559950492
56,132.29285555422126,136.30056559950492
57,132.29285555422126,136.30056559950492
58,132.29285555422126,136.30056559950492
59,132.29285555422126,136.30056559950492
60,132.29285555422126,134.9127611961937
61,132.29285555422126,134.9127611961937
62,132.29285555422126,134.9127611961937
63,132.29285555422126,134.9127611961937
64,132.29285555422126,134.9127611961937
65,132.29285555422126,134.9127611961937
66,130.44152591910802,134.9127611961937
67,130.44152591910802,134.9127611961937
68,130.44152591910802,134.9127611961937
69,130.44152591910802,134.9127611961937
70,130.44152591910802,134.9127611961937
71,130.35368814133446,134.9127611961937
72,130.35368814133446,134.9127611961937
73,129.06298453092666,134.9127611961937
74,128.25823328469193,134.9127611961937
75,128.25823328469193,134.9127611961937
76,128.23463826563457,134.9127611961937
77,128.23463826563457,134.9127611961937
78,128.02493524260908,133.48063728887206
79,127.67206146918537,133.48063728887206
80,127.67206146918537,133.48063728887206
81,127.67206146918537,130.8664432705999
82,127.67206146918537,130.8664432705999
83,127.67206146918537,130.8664432705999
84,127.67206146918537,130.8664432705999
85,127.67206146918537,130.8664432705999
86,127.67206146918537,130.8664432705999
87,127.67206146918537,130.8664432705999
88,127.67206146918537,130.8664432705999
89,127.67206146918537,130.8664432705999
90,127.67206146918537,130.8664432705999
91,127.67206146918537,130.8664432705999
92,127.67206146918537,130.8664432705999
93,127.67206146918537,130.8664432705999
94,127.67206146918537,130.43302022606431
95,127.67206146918537,130.43302022606431
96,127.67206146918537,130.43302022606431
97,127.67206146918537,129.43380669412042
98,127.52033258392593,129.43380669412042
99,127.52033258392593,129.43380669412042
100,127.52033258392593,129.43380669412042
101,127.52033258392593,129.43380669412042
102,127.52033258392593,129.43380669412042
103,127.52033258392593,129.43380669412042
104,127.52033258392593,129.43380669412042
105,127.52033258392593,129.43380669412042
106,127.52033258392593,129.43380669412042
107,127.52033258392593,129.43380669412042
108,127.52033258392593,129.43380669412042
109,127.52033258392593,129.43380669412042
110,126.31246515357343,129.43380669412042
111,126.05567871854373,129.43380669412042
112,126.05567871854373,129.43380669412042
113,126.05567871854373,129.43380669412042
114,126.05567871854373,129.43380669412042
115,126.05567871854373,129.43380669412042
