世代,0,1,2,3,4,5,6,7,8,9
0,257.55088907214645,255.46681674219192,280.0427128242305,282.77120374039674,281.3680920525842,302.9240585894578,251.8571602273185,305.5342254236103,217.26200642784022,293.0575493650997
1,255.77110072682777,230.1142459387367,214.65975078146712,239.79929270302307,261.4509367180358,246.3543630366963,251.8571602273185,214.97511966862982,217.26200642784022,266.2578069755865
2,243.78904195697254,227.41171055680064,204.02441371095227,211.18445268319783,226.71467409077138,215.6454551683179,207.79544438152337,214.97511966862982,217.26200642784022,191.19018947327567
3,159.1348137317503,219.91973363499488,184.87388758499787,189.88607114998857,210.86674094855172,197.0159064672935,171.44367754012822,197.51568621596527,216.9011022376446,169.84703479697055
4,159.1348137317503,200.51628622894617,169.45060205138483,189.88607114998857,181.16650344266478,193.26289199290193,167.61079622314526,155.63699439541304,197.98652014311227,169.84703479697055
5,159.1348137317503,186.62458440721232,169.45060205138483,168.73053211476105,181.16650344266478,193.26289199290193,167.61079622314526,155.63699439541304,197.98652014311227,169.84703479697055
6,159.1348137317503,181.76380245630355,169.45060205138483,168.73053211476105,181.16650344266478,193.26289199290193,167.61079622314526,155.63699439541304,171.55249344467606,169.84703479697055
7,159.1348137317503,181.76380245630355,169.45060205138483,168.73053211476105,168.33362692199427,193.26289199290193,167.61079622314526,155.63699439541304,171.55249344467606,169.84703479697055
8,151.12979281998122,181.76380245630355,169.45060205138483,163.1653685220545,168.33362692199427,193.26289199290193,155.7529582385901,155.63699439541304,171.55249344467606,146.44455822765167
9,151.12979281998122,181.76380245630355,169.45060205138483,163.1653685220545,168.33362692199427,193.26289199290193,155.7529582385901,155.63699439541304,171.55249344467606,146.44455822765167
10,151.12979281998122,181.76380245630355,147.1411904360385,163.1653685220545,168.33362692199427,173.45919196946596,155.7529582385901,155.63699439541304,170.70882060017686,146.44455822765167
11,151.12979281998122,181.6586644597932,147.1411904360385,156.55061008775297,168.33362692199427,168.02820991978348,155.7529582385901,155.63699439541304,170.70882060017686,146.44455822765167
12,151.12979281998122,171.0920090541942,147.1411904360385,156.55061008775297,168.33362692199427,168.02820991978348,155.7529582385901,155.63699439541304,170.70882060017686,146.44455822765167
13,151.12979281998122,171.0920090541942,147.1411904360385,156.55061008775297,168.33362692199427,168.02820991978348,155.7529582385901,155.63699439541304,170.70882060017686,146.44455822765167
14,151.12979281998122,171.0920090541942,147.1411904360385,156.55061008775297,168.33362692199427,168.02820991978348,155.7529582385901,155.63699439541304,170.70882060017686,146.44455822765167
15,151.12979281998122,171.0920090541942,147.1411904360385,156.55061008775297,168.33362692199427,168.02820991978348,155.7529582385901,155.63699439541304,170.70882060017686,146.44455822765167
16,151.12979281998122,171.0920090541942,147.1411904360385,156.55061008775297,166.86257062514537,168.02820991978348,155.7529582385901,155.63699439541304,170.70882060017686,146.44455822765167
17,151.12979281998122,171.0920090541942,147.1411904360385,156.55061008775297,166.86257062514537,168.02820991978348,155.7529582385901,155.63699439541304,170.70882060017686,146.44455822765167
18,151.12979281998122,171.0920090541942,147.1411904360385,156.55061008775297,166.86257062514537,168.02820991978348,155.7529582385901,155.63699439541304,170.70882060017686,146.44455822765167
19,151.12979281998122,171.0920090541942,147.1411904360385,156.55061008775297,166.86257062514537,168.02820991978348,155.7529582385901,155.63699439541304,170.70882060017686,146.44455822765167
20,151.12979281998122,171.0920090541942,147.1411904360385,156.55061008775297,166.86257062514537,168.02820991978348,155.7529582385901,155.63699439541304,170.70882060017686,146.44455822765167
21,151.12979281998122,171.0920090541942,147.1411904360385,156.55061008775297,166.86257062514537,152.79070833671443,155.7529582385901,136.96774289908993,170.70882060017686,146.44455822765167
22,151.12979281998122,171.0920090541942,147.1411904360385,156.55061008775297,161.96963298477817,152.79070833671443,155.7529582385901,136.96774289908993,170.70882060017686,146.44455822765167
23,151.12979281998122,171.0920090541942,147.1411904360385,156.55061008775297,161.96963298477817,152.79070833671443,155.7529582385901,136.96774289908993,170.70882060017686,146.44455822765167
24,151.12979281998122,171.0920090541942,145.87330003453224,156.55061008775297,161.96963298477817,152.79070833671443,153.7916902792144,136.96774289908993,170.70882060017686,146.44455822765167
25,94.37182356128305,171.0920090541942,145.87330003453224,156.55061008775297,161.96963298477817,152.79070833671443,146.73795153834004,136.96774289908993,156.56502489468596,146.44455822765167
26,94.37182356128305,170.02371056637668,145.87330003453224,148.1733697534165,161.96963298477817,152.79070833671443,146.73795153834004,136.96774289908993,156.56502489468596,146.44455822765167
27,94.37182356128305,158.05213813117547,145.87330003453224,143.77739456032558,161.96963298477817,152.79070833671443,146.73795153834004,136.96774289908993,156.56502489468596,146.44455822765167
28,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,152.39311845436146,152.79070833671443,146.73795153834004,136.96774289908993,156.56502489468596,146.44455822765167
29,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,146.73795153834004,136.96774289908993,156.56502489468596,146.44455822765167
30,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,146.73795153834004,136.96774289908993,156.56502489468596,146.44455822765167
31,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,146.73795153834004,136.96774289908993,156.56502489468596,146.44455822765167
32,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,146.73795153834004,136.96774289908993,156.56502489468596,146.44455822765167
33,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,146.73795153834004,136.96774289908993,149.02117793599206,146.44455822765167
34,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,146.73795153834004,136.96774289908993,149.02117793599206,146.44455822765167
35,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,146.73795153834004,136.96774289908993,149.02117793599206,146.44455822765167
36,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,135.51927033719508,136.96774289908993,149.02117793599206,146.44455822765167
37,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,135.51927033719508,136.96774289908993,149.02117793599206,146.44455822765167
38,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,135.51927033719508,136.96774289908993,149.02117793599206,146.44455822765167
39,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,135.51927033719508,136.96774289908993,147.56511732445648,146.44455822765167
40,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,135.51927033719508,136.96774289908993,147.56511732445648,146.44455822765167
41,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,135.51927033719508,136.96774289908993,147.56511732445648,146.44455822765167
42,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,135.51927033719508,136.96774289908993,147.56511732445648,146.44455822765167
43,94.37182356128305,146.5999052633331,145.87330003453224,143.77739456032558,114.6050558598843,152.79070833671443,131.09189928321558,136.96774289908993,147.56511732445648,146.44455822765167
