世代,最良評価値
0,320.97776652534196
1,265.71139272260353
2,233.57787702881978
3,228.33913750932803
4,228.33913750932803
5,227.55271923653245
6,227.55271923653245
7,227.55271923653245
8,227.55271923653245
9,227.55271923653245
10,227.55271923653245
11,227.55271923653245
12,227.55271923653245
13,227.55271923653245
14,227.55271923653245
15,227.55271923653245
16,227.55271923653245
17,227.55271923653245
18,227.55271923653245
19,227.55271923653245
20,227.55271923653245
21,227.55271923653245
22,227.55271923653245
23,227.55271923653245
24,227.55271923653245
25,227.55271923653245
26,227.55271923653245
27,227.55271923653245
28,227.55271923653245
29,227.55271923653245
30,227.55271923653245
31,227.55271923653245
32,227.55271923653245
33,227.55271923653245
34,227.55271923653245
35,227.55271923653245
36,227.55271923653245
37,227.55271923653245
38,227.55271923653245
39,227.55271923653245
40,227.55271923653245
41,227.55271923653245
42,227.55271923653245
43,227.55271923653245
44,227.55271923653245
45,227.55271923653245
46,227.55271923653245
47,227.55271923653245
48,227.55271923653245
49,227.55271923653245
50,227.55271923653245
51,227.55271923653245
52,227.55271923653245
53,227.55271923653245
54,227.55271923653245
55,227.55271923653245
56,227.55271923653245
57,227.55271923653245
58,227.55271923653245
59,227.55271923653245
60,227.55271923653245
61,227.55271923653245
62,227.55271923653245
63,227.55271923653245
64,227.55271923653245
65,227.55271923653245
66,227.55271923653245
67,227.55271923653245
68,227.55271923653245
69,227.55271923653245
70,227.55271923653245
71,227.55271923653245
72,227.55271923653245
73,227.55271923653245
74,227.55271923653245
75,227.55271923653245
76,227.55271923653245
77,227.55271923653245
78,227.55271923653245
79,227.55271923653245
80,227.55271923653245
81,227.55271923653245
82,227.55271923653245
83,227.55271923653245
84,227.55271923653245
85,227.55271923653245
86,227.55271923653245
87,227.55271923653245
88,227.55271923653245
89,227.55271923653245
90,227.55271923653245
91,227.55271923653245
92,227.55271923653245
93,227.55271923653245
94,227.55271923653245
95,227.55271923653245
96,227.55271923653245
97,227.55271923653245
98,227.55271923653245
99,227.55271923653245
100,227.55271923653245
101,227.55271923653245
102,227.55271923653245
103,227.55271923653245
104,227.55271923653245
105,227.55271923653245
106,227.55271923653245
107,227.55271923653245
108,227.55271923653245
109,227.55271923653245
110,227.55271923653245
111,227.55271923653245
112,227.55271923653245
113,227.55271923653245
114,227.55271923653245
115,227.55271923653245
116,227.55271923653245
117,227.55271923653245
118,227.55271923653245
119,227.55271923653245
120,227.55271923653245
121,227.55271923653245
122,227.55271923653245
123,227.55271923653245
124,227.55271923653245
125,227.55271923653245
126,227.55271923653245
127,227.55271923653245
128,227.55271923653245
129,227.55271923653245
130,227.55271923653245
131,227.55271923653245
132,227.55271923653245
133,227.55271923653245
134,227.55271923653245
135,227.55271923653245
136,227.55271923653245
137,227.55271923653245
138,227.55271923653245
139,227.55271923653245
140,227.55271923653245
141,227.55271923653245
142,227.55271923653245
143,227.55271923653245
144,227.55271923653245
145,227.55271923653245
146,227.55271923653245
147,227.55271923653245
148,227.55271923653245
149,227.55271923653245
150,227.55271923653245
151,227.55271923653245
152,227.55271923653245
153,227.55271923653245
154,227.55271923653245
155,227.55271923653245
156,227.55271923653245
157,227.55271923653245
158,227.55271923653245
159,227.55271923653245
160,227.55271923653245
161,227.55271923653245
162,227.55271923653245
163,227.55271923653245
164,227.55271923653245
165,227.55271923653245
166,227.55271923653245
167,227.55271923653245
168,227.55271923653245
169,227.55271923653245
170,227.55271923653245
171,227.55271923653245
172,227.55271923653245
173,227.55271923653245
174,227.55271923653245
175,227.55271923653245
176,227.55271923653245
177,227.55271923653245
178,227.55271923653245
179,227.55271923653245
180,227.55271923653245
181,227.55271923653245
182,227.55271923653245
183,227.55271923653245
184,227.55271923653245
185,227.55271923653245
186,227.55271923653245
187,227.55271923653245
188,227.55271923653245
189,227.55271923653245
190,227.55271923653245
191,227.55271923653245
192,227.55271923653245
193,227.55271923653245
194,227.55271923653245
195,227.55271923653245
196,227.55271923653245
197,227.55271923653245
198,227.55271923653245
199,227.55271923653245
200,227.55271923653245
201,227.55271923653245
202,227.55271923653245
203,227.55271923653245
204,227.55271923653245
205,227.55271923653245
206,227.55271923653245
207,227.55271923653245
208,227.55271923653245
209,227.55271923653245
210,227.55271923653245
211,227.55271923653245
212,227.55271923653245
213,227.55271923653245
214,227.55271923653245
215,227.55271923653245
216,227.55271923653245
217,227.55271923653245
218,227.55271923653245
219,227.55271923653245
220,227.55271923653245
221,227.55271923653245
222,227.55271923653245
223,227.55271923653245
224,227.55271923653245
225,227.55271923653245
226,227.55271923653245
227,227.55271923653245
228,227.55271923653245
229,227.55271923653245
230,227.55271923653245
231,227.55271923653245
232,227.55271923653245
233,227.55271923653245
234,227.55271923653245
235,227.55271923653245
236,227.55271923653245
237,227.55271923653245
238,227.55271923653245
239,227.55271923653245
240,227.55271923653245
241,227.55271923653245
242,227.55271923653245
243,227.55271923653245
244,227.55271923653245
245,227.55271923653245
246,227.55271923653245
247,227.55271923653245
248,227.55271923653245
249,227.55271923653245
250,227.55271923653245
251,227.55271923653245
252,227.55271923653245
253,227.55271923653245
254,227.55271923653245
255,227.55271923653245
256,227.55271923653245
257,227.55271923653245
258,227.55271923653245
259,227.55271923653245
260,227.55271923653245
261,227.55271923653245
262,227.55271923653245
263,227.55271923653245
264,227.55271923653245
265,227.55271923653245
266,227.55271923653245
267,227.55271923653245
268,227.55271923653245
269,227.55271923653245
270,227.55271923653245
271,227.55271923653245
272,227.55271923653245
273,227.55271923653245
274,227.55271923653245
275,227.55271923653245
276,227.55271923653245
277,227.55271923653245
278,227.55271923653245
279,227.55271923653245
280,227.55271923653245
281,227.55271923653245
282,227.55271923653245
283,227.55271923653245
284,227.55271923653245
285,227.55271923653245
286,227.55271923653245
287,227.55271923653245
288,227.55271923653245
289,227.55271923653245
290,227.55271923653245
291,227.55271923653245
292,227.55271923653245
293,227.55271923653245
294,227.55271923653245
295,227.55271923653245
296,227.55271923653245
297,227.55271923653245
298,227.55271923653245
299,227.55271923653245
300,227.55271923653245
301,227.55271923653245
302,227.55271923653245
303,227.55271923653245
304,227.55271923653245
305,227.55271923653245
306,227.55271923653245
307,227.55271923653245
308,227.55271923653245
309,227.55271923653245
310,227.55271923653245
311,227.55271923653245
312,227.55271923653245
313,227.55271923653245
314,227.55271923653245
315,227.55271923653245
316,227.55271923653245
317,227.55271923653245
318,227.55271923653245
319,227.55271923653245
320,227.55271923653245
321,227.55271923653245
322,227.55271923653245
323,227.55271923653245
324,227.55271923653245
325,227.55271923653245
326,227.55271923653245
327,227.55271923653245
328,227.55271923653245
329,227.55271923653245
330,227.55271923653245
331,227.55271923653245
332,227.55271923653245
333,227.55271923653245
334,227.55271923653245
335,227.55271923653245
336,227.55271923653245
337,227.55271923653245
338,227.55271923653245
339,227.55271923653245
340,227.55271923653245
341,227.55271923653245
342,227.55271923653245
343,227.55271923653245
