試行番号,最終評価値,最小評価値,最小値を達成した世代
0,27.85944539132106,27.85944539132106,998
1,14.924387115738824,14.924387115738824,999
2,31.838678680206897,31.838678680206897,997
3,13.92942388517676,13.92942388517676,998
4,24.873996562760084,24.873996562760084,997
5,32.83358422872385,32.83358422872385,999
6,20.894145945679185,20.894145945679185,999
7,25.868926594065897,25.868926594065897,999
8,23.879010683946436,23.879010683946436,999
9,41.78826370842103,41.78826370842103,998
