世代,Sphere関数,Rosenbrock関数,Griewank関数,Rastrigin関数
0,165.36931438996967,34269.35322443277,1.0349655970626037,439.9881809565826
1,163.49160599455263,34029.25701021944,1.0349655970626037,439.9881809565826
2,87.676629264033,22912.750921502444,1.0266389377751906,401.8018676209219
3,63.364878086691974,10644.91947818607,0.9188475641525271,365.095727682833
4,34.80051601344795,6708.5334085152535,0.7584301171760626,293.51936919023666
5,34.4647424903193,5197.278788846527,0.7584301171760626,272.8297351956786
6,24.794422301799973,5197.278788846527,0.7584301171760626,272.8297351956786
7,24.794422301799973,3926.1714899984195,0.6720962616182393,272.8297351956786
8,24.794422301799973,3447.085019481592,0.6611423565013124,272.8297351956786
9,24.794422301799973,3447.085019481592,0.6611423565013124,272.8297351956786
10,24.794422301799973,3447.085019481592,0.6611423565013124,272.8297351956786
11,18.579593278323948,3317.6918794007784,0.6611423565013124,272.8297351956786
12,18.579593278323948,3004.6851541950323,0.6611423565013124,272.8297351956786
13,18.579593278323948,1896.1759519899483,0.6533203796324343,272.8297351956786
14,15.736224392622345,1777.5547795192736,0.5555680020047726,272.8297351956786
15,15.736224392622345,1777.5547795192736,0.5555680020047726,272.8297351956786
16,15.736224392622345,1777.5547795192736,0.4916286956165604,272.8297351956786
17,12.903836787307428,1633.3900839606326,0.4916286956165604,272.8297351956786
18,12.594370416104912,1633.3900839606326,0.4916286956165604,272.8297351956786
19,12.594370416104912,1633.3900839606326,0.4916286956165604,272.8297351956786
20,12.594370416104912,1633.3900839606326,0.46301709569103755,272.8297351956786
21,12.594370416104912,1633.3900839606326,0.34220623321182864,272.8297351956786
22,12.104923949834882,1633.3900839606326,0.34220623321182864,272.8297351956786
23,11.529998403968477,1633.3900839606326,0.34220623321182864,272.8297351956786
24,11.529998403968477,1633.3900839606326,0.34220623321182864,270.4032066412084
25,10.585802302082833,1633.3900839606326,0.34220623321182864,270.4032066412084
26,9.593116612899236,1633.3900839606326,0.34220623321182864,265.73912086464446
27,9.593116612899236,1633.3900839606326,0.34220623321182864,265.73912086464446
28,9.593116612899236,1633.3900839606326,0.34220623321182864,265.73912086464446
29,9.593116612899236,1307.4105284134696,0.34220623321182864,265.73912086464446
30,9.593116612899236,1307.4105284134696,0.34220623321182864,265.73912086464446
31,8.511340461715738,1307.4105284134696,0.34220623321182864,265.73912086464446
32,8.511340461715738,1307.4105284134696,0.34220623321182864,265.73912086464446
33,8.511340461715738,1307.4105284134696,0.34220623321182864,264.26201364271054
34,8.511340461715738,1307.4105284134696,0.34220623321182864,264.26201364271054
35,8.511340461715738,1307.4105284134696,0.34220623321182864,258.2598646516227
36,8.511340461715738,1307.4105284134696,0.34220623321182864,258.2598646516227
37,8.511340461715738,1283.6100365099185,0.34220623321182864,258.2598646516227
38,8.511340461715738,1283.6100365099185,0.34220623321182864,258.2598646516227
39,8.511340461715738,1283.6100365099185,0.34220623321182864,258.2598646516227
40,7.678313190058481,1234.2371478938824,0.33462538963039223,246.58677348753253
41,7.678313190058481,1234.2371478938824,0.33462538963039223,246.58677348753253
42,7.678313190058481,1234.2371478938824,0.33462538963039223,246.58677348753253
43,7.678313190058481,1234.2371478938824,0.31466410113319165,246.58677348753253
44,7.678313190058481,1234.2371478938824,0.31466410113319165,246.58677348753253
45,7.678313190058481,1234.2371478938824,0.31466410113319165,246.58677348753253
46,7.054235818246993,1234.2371478938824,0.30419601400295493,246.58677348753253
47,7.054235818246993,1234.2371478938824,0.30419601400295493,246.58677348753253
48,6.477719672006647,1234.2371478938824,0.30419601400295493,246.58677348753253
49,5.979897624205337,1234.2371478938824,0.30419601400295493,246.58677348753253
50,5.979897624205337,1234.2371478938824,0.30419601400295493,246.58677348753253
51,5.979897624205337,1234.2371478938824,0.30212491417829224,246.58677348753253
52,5.979897624205337,1234.2371478938824,0.30212491417829224,246.58677348753253
53,5.979897624205337,1234.2371478938824,0.2897636333994834,246.58677348753253
54,5.979897624205337,1234.2371478938824,0.2897636333994834,246.58677348753253
55,5.979897624205337,1234.2371478938824,0.2897636333994834,246.58677348753253
56,5.399690296022439,1234.2371478938824,0.2897636333994834,246.58677348753253
57,5.399690296022439,1234.2371478938824,0.2897636333994834,246.58677348753253
58,5.399690296022439,1234.2371478938824,0.2897636333994834,246.58677348753253
59,5.399690296022439,1234.2371478938824,0.2897636333994834,246.58677348753253
60,5.399690296022439,1234.2371478938824,0.2897636333994834,246.58677348753253
61,5.399690296022439,1171.1873667006107,0.2897636333994834,246.58677348753253
62,5.399690296022439,1171.1873667006107,0.2897636333994834,246.58677348753253
63,5.399690296022439,1171.1873667006107,0.2897636333994834,246.58677348753253
64,5.399690296022439,1171.1873667006107,0.2897636333994834,246.58677348753253
65,5.399690296022439,1171.1873667006107,0.2897636333994834,246.58677348753253
66,5.399690296022439,1171.1873667006107,0.2897636333994834,246.58677348753253
67,5.399690296022439,1171.1873667006107,0.2897636333994834,246.58677348753253
68,5.399690296022439,1171.1873667006107,0.2897636333994834,246.58677348753253
69,5.399690296022439,1171.1873667006107,0.2803097588443211,246.58677348753253
70,4.758226723527806,1171.1873667006107,0.2803097588443211,246.58677348753253
71,4.758226723527806,1075.5147529119324,0.2803097588443211,246.58677348753253
72,4.758226723527806,1075.5147529119324,0.2630182054416156,246.58677348753253
73,4.758226723527806,1075.5147529119324,0.2630182054416156,246.58677348753253
74,4.758226723527806,1075.5147529119324,0.2630182054416156,246.58677348753253
75,4.758226723527806,1075.5147529119324,0.2630182054416156,246.58677348753253
76,4.758226723527806,1075.5147529119324,0.2630182054416156,246.58677348753253
