世代,kadai2 固定 w=0.75 平均,kadai5 LDIWM
0,272.1983842744548,280.2491487957466
1,239.82824739099573,247.4326415902962
2,205.20584592330502,208.9411358332349
3,179.83094628920725,186.28074765601878
4,164.30075761380095,170.46802101341385
5,160.28729167986677,170.46802101341385
6,159.5229943422292,166.53126259572153
7,159.05318649457777,163.52132803681312
8,157.5789595464406,156.65562898691945
9,155.93086667427377,155.84883166779986
10,155.44123048347905,155.84883166779986
11,154.34590102194142,155.84883166779986
12,154.22585402232443,154.84091059815188
13,154.03508906899194,150.13475737482844
14,151.18238677437898,148.65736862327194
15,149.94001025662553,148.65736862327194
16,149.94001025662553,148.65736862327194
17,149.94001025662553,146.26272607052488
18,145.75276543452844,146.18947060931941
19,144.14600162465172,144.10041176728288
20,144.14600162465172,144.10041176728288
21,142.84616186707655,142.68724237465466
22,141.87846925568783,142.68724237465466
23,141.87846925568783,142.68724237465466
24,139.40693578599786,142.68724237465466
25,136.35682317033636,142.49536392405665
26,136.35682317033636,141.65554094006743
27,136.32859434365588,139.8764404703282
28,134.85839569965077,139.1115243292873
29,134.67887727644185,139.1115243292873
30,134.5114006570771,138.9359939459211
31,133.770842383869,138.06216943990543
32,130.45422861466233,138.06216943990543
33,130.45422861466233,136.75709760785335
34,130.45422861466233,136.6798177102024
35,130.4511902056594,134.19911562701077
36,130.4511902056594,133.71198397442794
37,130.11318230250015,133.71198397442794
38,130.11318230250015,133.71198397442794
39,128.15002710363058,133.6751785347229
40,128.15002710363058,133.6751785347229
41,127.87601494322935,133.26563532779545
42,126.12855719183267,132.4290538373356
43,124.68502673678877,132.1581041205342
44,124.47933690620755,130.73356802481516
45,124.3789968974831,128.0129177407975
46,124.3789968974831,126.55821624752825
47,124.3789968974831,125.2944468521749
48,124.3789968974831,125.2944468521749
49,124.3789968974831,121.95253653114897
50,122.77932139998605,121.95253653114897
51,122.17917422098658,119.563124512707
52,122.17917422098658,119.29922830877554
53,120.9342970444252,118.62475272982242
54,120.13269882150783,118.62475272982242
55,120.13269882150783,118.17329753315467
56,118.31943356983956,114.31787085450132
57,117.53259378673413,114.31787085450132
58,116.65966007418224,114.31787085450132
59,116.65966007418224,113.52955054314945
60,116.65966007418224,109.95203850083647
61,116.65966007418224,109.45771614726331
62,116.35409885381519,108.57450870202857
63,116.35409885381519,108.57450870202857
64,113.87047289991668,107.62158279180076
65,113.85191381841139,107.26499938293527
66,113.50204763728831,105.8905625208237
67,113.50204763728831,105.61451407247282
68,113.47832898746522,105.61451407247282
69,113.18255755088144,105.61451407247282
70,112.52652254248616,104.51022833200936
71,112.52652254248616,102.84615390078466
72,112.52652254248616,102.84615390078466
73,111.70664632239149,102.84615390078466
74,109.821839047654,102.6564923873993
75,109.821839047654,102.07815989723711
76,109.821839047654,102.07815989723711
77,109.80807593265816,100.9985280227948
78,108.19536362083745,100.78967769818978
79,108.19452913572047,99.93675961953002
80,106.50370313273099,98.79849337286818
81,105.35779574121447,97.96472566167162
82,105.06380081502228,96.63705707944814
83,103.84390069430079,96.63705707944814
84,102.57675011103683,96.60731369793075
85,102.57675011103683,96.60731369793075
86,102.52515854506018,96.3811616587936
87,102.52515854506018,95.6978208740333
88,101.66199335276472,95.6978208740333
89,99.9915159177565,95.6978208740333
90,99.9915159177565,95.6978208740333
91,99.9915159177565,95.6978208740333
92,99.9915159177565,95.65197297599693
93,99.9915159177565,94.69198263272548
94,99.61319603260416,94.37670047435813
95,99.54230179999529,92.06413566633368
96,98.57435404075048,90.63519959243722
97,98.57435404075048,89.48985145586921
98,98.57435404075048,89.30363928429995
99,98.57435404075048,88.51299873697678
100,98.54851281059084,86.75810362054781
101,98.54851281059084,86.75810362054781
102,98.40430812322191,86.75810362054781
103,98.40430812322191,86.7521330346168
104,98.40430812322191,86.7521330346168
105,97.57373556554077,86.67112840702181
106,96.89449723058094,86.67112840702181
107,96.89449723058094,85.33177369495135
108,96.8318938360541,84.31338451143132
109,96.8318938360541,84.04973077583301
110,96.8318938360541,83.14127767615112
111,96.38224504696427,83.14127767615112
112,96.38224504696427,80.44276355716002
113,96.0420356597557,79.30027018179503
114,96.0420356597557,79.30027018179503
115,96.0420356597557,77.5551433395453
116,95.37305943459256,77.18879109815009
117,95.37305943459256,77.08934716318993
118,94.25329883946164,76.62562031339353
119,94.16718682090888,76.62562031339353
120,94.16718682090888,76.16892103207108
121,94.16718682090888,74.93393756610797
122,92.1616121054957,74.81620537326596
123,91.70509641279419,74.70683074831231
124,91.70509641279419,74.55696804495135
125,91.70509641279419,74.20251311411373
126,91.567971923945,74.12109814290307
127,90.25755984948667,74.12109814290307
128,90.25755984948667,71.75357158332683
129,90.25755984948667,71.75357158332683
130,90.25755984948667,71.68557885740863
131,89.67123341906071,71.37546326232496
132,89.50699690357195,71.26992633382262
133,89.47879437568898,71.25842452202369
134,89.02015621642316,71.25478766732071
135,89.00305209764844,71.25478766732071
136,88.92856635176165,71.0148983453648
137,88.38011027098082,70.69535543365355
138,88.38011027098082,70.47410116003184
139,88.36191531320706,70.31510915761721
140,87.80591283728101,70.23019271656214
141,87.80492245754438,70.14261242829878
142,87.61803224894315,69.95063473405773
143,87.61803224894315,69.68020688023799
144,87.61803224894315,69.66539085111796
145,87.61803224894315,68.65997422893895
146,87.32399240970378,67.81484375448801
147,87.07012434622193,67.81022365191104
148,85.9436447818998,66.5477503343797
149,85.6329082333996,66.54555580706513
150,85.63189596271151,66.54403620393819
151,85.63122801743182,66.53948808464345
152,85.14072448124882,65.78889022466743
153,85.14041624466844,65.78838147535346
154,85.14020135363903,65.6486061480747
155,85.11300961359726,65.32603594817995
156,85.11290076844297,65.32586504913657
157,84.67077216344477,65.32574628139386
158,84.52254064035961,65.1678259271542
159,84.1133971724693,65.16763359671138
160,84.02924916279582,65.09666368716549
161,82.04672853382858,65.05532982509172
162,81.51577673956515,65.05531067975053
163,81.3457473127183,64.90470221829051
164,81.34120577683481,64.90469302155381
165,81.1821200866985,64.21648005292198
166,81.1821200866985,64.12261028202256
167,80.58812147163596,64.12260723138776
168,80.58812147163596,63.56057045129878
169,80.11630471241327,63.522181776316984
170,80.11630471241327,63.464234682392586
171,80.11630471241327,63.463805814795435
172,80.11630471241327,63.44738333823925
173,80.02513906025868,63.447383007094835
174,80.02513906025868,63.202751431439786
175,80.0217603821404,61.73340592081363
176,80.01575369237844,61.50928340094058
177,79.96082873216804,61.498504380044025
178,79.45158523405289,61.10260846008185
179,79.17154721726595,61.085750649773615
180,79.17154721726595,60.868361012884975
181,79.17154721726595,60.50198901714329
182,79.1112697201664,60.50198901714329
183,79.08863480995169,59.82620640578908
184,79.08440622253943,59.82620640578908
185,79.08440622253943,59.81863442739742
186,79.08440622253943,59.297604006497565
187,79.04573067368997,59.27404441018528
188,78.77196781389667,58.40281258292284
189,78.77196781389667,58.39530932330447
190,78.75022093314603,58.00929377537775
191,78.75022093314603,58.00587010149051
192,78.75022093314603,58.003547130107734
193,78.5314636757291,58.00196844165695
194,78.28562580142831,57.99502677955174
195,78.13413474391751,57.99502677955174
196,78.0749512129433,57.95837174108034
197,78.05366305256123,55.66588947615137
198,77.97581670042048,54.76871317051052
199,77.90935315522644,54.768112941158094
200,77.90663269562953,53.98884119848899
201,77.90545103925172,53.98884119848899
202,77.90385063516159,53.98465292238471
203,77.90381977545853,53.98465292238471
204,77.28371520386389,53.98465292238471
205,77.19881318301846,53.979279880444324
206,77.14541878209182,53.87276270796686
207,77.10124026812656,53.87276270796686
208,77.07910665384142,53.198986514850375
209,76.87296859232256,52.49770965190733
210,76.1725081029752,52.48758919972122
211,76.16572312671943,52.48758919972122
212,76.1607688040555,51.38980175904648
213,75.48482742378887,50.31038782183781
214,75.31580257727228,50.28431865745743
215,75.31406439695698,50.28431865745743
216,74.46576882918103,49.79114279043486
217,74.36653010286773,49.79114279043486
218,74.36171633935345,49.61795647035042
219,74.35852548380807,48.96886605803903
220,74.03716313940376,48.55713777258783
221,73.07778937828274,48.397984637498496
222,72.83733183672865,48.10345971689767
223,72.81410669853717,48.07767290807991
224,72.29200352009022,47.945104364495066
225,71.95808638840255,47.46460062590778
226,71.0190738317423,47.464214239354945
227,70.91298514891294,47.46387375093767
228,70.8451639825796,47.268475874503494
229,70.69535846476808,47.26273710764165
230,70.66637687296874,46.55373059193609
231,70.6469292848657,46.51278652708625
232,70.63364762608305,46.12742391159819
233,70.3847010972946,46.08567072490088
234,70.21483596765583,46.076760574667716
235,69.89663879951613,45.52308034795452
236,69.8932954738446,45.22754360163748
237,69.8908633136947,45.15899309123338
238,69.86801175991178,44.86952111393222
239,69.8666994167274,44.838273547174325
240,69.34685069772507,44.595050141954395
241,69.13028686796507,44.52603822973335
242,68.85450016987404,44.30551254626137
243,68.82232810594795,44.220722868683794
244,68.48182198002853,43.95360767964903
245,68.36180749093296,43.9351635882188
246,68.35254184977236,43.87542108156029
247,68.35241694233282,43.19070531088419
248,68.29544181133333,43.108965991648525
249,68.29491823083451,42.88957217843112
250,68.29344740008023,42.88859500903769
251,68.29340803463705,42.876460108440895
252,68.29337852409937,42.85857683503478
253,68.29095125200861,42.777666307989975
254,68.28001206195073,42.67989349131957
255,68.27795060168918,42.440258746392665
256,68.27661471581902,42.43725710494404
257,68.27573119154081,42.33803685695247
258,68.26830568315573,42.323910829986055
259,68.26789620712063,42.26765695949031
260,68.26522831931446,42.23009933840012
261,68.26502570342444,42.16481848368165
262,68.26488042559237,41.95081027525216
263,67.73828110905546,41.95070202803487
264,67.73820432767356,41.902026384891414
265,67.73191172102887,41.643934549905595
266,67.73187009358766,41.42095499696981
267,67.73183924961836,41.348319147547585
268,67.73007598625375,40.88443106433561
269,67.73005891458169,40.8685582266755
270,67.7259753879219,40.82881496040492
271,66.88009154662916,40.68020034370707
272,66.87914445763451,40.50509273262025
273,66.87913913338161,40.47883662050093
274,66.87913514690334,40.47395707282534
275,66.87226188271943,40.473628064482135
276,66.82178747397793,40.473430888201634
277,66.81441272476494,40.42173803424734
278,66.51758606647934,40.293570022165724
279,66.51438339320627,40.27860755608293
280,66.219781352353,40.27857674932508
281,66.21827966813008,40.27855691518142
282,66.21701151642941,40.198378454294854
283,66.21626175197875,40.08454638082283
284,65.42645409898869,40.08233351229196
285,65.4248541595751,39.96571870804098
286,65.42456763040374,39.95438386003299
287,65.41983913292053,39.83294304508039
288,65.41968330838311,39.43761313312509
289,65.41911521304134,39.33773429134898
290,64.82248660054088,39.22609634949434
291,64.47993105459369,39.18255096163891
292,64.47988323805565,38.90631247522265
293,64.47981824161022,38.87921217382687
294,64.47912590641067,38.85105274893259
295,64.47902421989076,38.785741989428764
296,64.47881859441307,38.73085150759514
297,64.47879842148207,38.69415812358993
298,64.47879001188431,38.69347893578547
299,64.4787805905176,38.529451775618256
300,64.1781286360801,38.36624635343147
301,64.17805319390968,38.141583401039156
302,64.17805053777712,37.909051948418586
303,64.17796851756923,37.76801494223248
304,64.17796368762734,37.51454908861793
305,64.17795582411489,37.48042486917408
306,64.17795076918031,37.448019564542065
307,64.1779474520382,37.31934127216315
308,64.0904872338054,36.99962677971378
309,64.09048571793089,36.856324169952
310,64.09048466540955,36.76926972079548
311,64.09048392348612,36.68692314364072
312,64.09048339374458,36.64523471485363
313,64.0833220267568,36.49061261756384
314,63.99791066343785,36.47278808543625
315,63.61416634957021,36.46055518321693
316,63.6141661992829,36.43852682452636
317,63.59496131619812,36.381088879415515
318,63.59496123363509,36.34951428889555
319,63.59496117218862,36.33299312613415
320,63.594961126371366,36.27740586910083
321,63.59496109215898,36.20776867515707
322,63.59496106658437,36.16898468281189
323,63.58679939901854,36.10179025336826
324,63.586799384695325,36.099817579610416
325,63.586799373968006,36.08775737848456
326,63.586799365930986,36.01713574774196
327,63.081194983848015,36.01643017691151
328,63.08119497933345,36.00395456548981
329,63.08119497594903,35.89262598979513
330,63.08119497341155,35.878144724841256
331,63.08119497150892,35.875108665923555
332,63.08119497008223,35.87198804991205
333,63.07940053364448,35.869212472591116
334,63.07940053284214,35.86890793654545
335,63.07940053224047,35.86211554593939
336,63.079400531789226,35.857504564979095
337,63.0794005314508,35.84248750120131
338,63.079400531196995,35.84143790033609
339,63.07940053100666,35.840888673016664
340,62.91070055554782,35.84057242417201
341,62.91070055544075,35.840182117475564
342,62.910700555360464,35.839652839516035
343,62.91070055530022,35.82425084840635
344,62.91070055525506,35.77113881264237
345,62.77865357592898,35.77111201982577
346,62.77802061441368,35.76820856253668
347,62.71465889357766,35.705188498759995
348,62.658132189151786,35.652975240064976
349,62.65383566384479,35.62458988373192
350,62.633316990133196,35.45171147435837
351,62.63186248431357,35.45170985495993
352,62.63157142232369,35.41814188438209
353,62.631571422322565,35.34599896957267
354,62.63157142232171,35.26200095459654
355,62.63157142232107,34.949395199395425
356,62.6315714223206,34.937751653984186
357,62.63157142232025,34.93775155638264
358,62.62973333754527,34.899252251284494
359,62.628785215347555,34.8712116324781
360,62.62870464528224,34.8518217605923
361,62.62870464528214,34.45907735228624
362,62.25681640113415,34.39143064539531
363,62.25681640113409,34.214826659112006
364,62.25681640113404,34.20675007882842
365,61.84373238915923,34.18577816361232
366,61.84370702298977,34.16776158438837
367,61.843687655260304,34.0957981502812
368,60.701047737884736,34.03095009577553
369,60.70099598710315,34.01971438636311
370,60.67963028156953,34.01886767342332
371,60.67957837027543,33.97688637389958
372,60.67957837027543,33.90584842436736
373,60.679495925490144,33.756323341586736
374,60.320005864299425,33.55176821456144
375,60.31994605258433,33.50987817795036
376,60.31976361845443,33.5092045919006
377,60.012458571462034,33.50919984924159
378,60.01239278764289,33.50919984924159
379,59.552367794388,33.45734493766316
380,59.5523424488627,33.45003712721653
381,59.552326250377426,33.392990073052964
382,59.55231568256878,33.39031796214903
383,59.55230864607974,33.390295683929466
384,59.55230386899175,33.147694595626106
385,59.55230056758652,33.03273986165812
386,59.55229824982774,33.01191042679346
387,59.55229660055035,32.98469618155583
388,59.383607947727874,32.727342303588784
389,59.383607085747634,32.70185533026239
390,59.275876091022425,32.65832098165954
391,59.275875626958666,32.59101498867214
392,59.27587528392519,32.52559049170259
393,59.27587502947065,32.48199942267613
394,59.12808688603511,32.41524618458883
395,59.128086744986796,32.34776720656735
396,59.128086639702566,32.34662046272634
397,59.12808656102176,32.331962528852465
398,59.12808650216999,32.315048927326814
399,59.12808645812053,32.30632117113747
400,59.12808642513367,32.25444656710861
401,59.0454196047845,32.229841644109705
402,59.0454195862665,32.18864637847221
403,59.04541957238695,32.15482366940728
404,59.045419561982314,32.044668368294595
405,59.04541955418166,31.95584348834449
406,59.04541954833276,31.94623369681948
407,59.04541954394699,31.943991184221762
408,58.89914470508222,31.91952007810329
409,58.899144702615885,31.76616329960075
410,58.77866710684083,31.450462545149257
411,58.77866710545372,31.449259425273432
412,58.75029512719925,31.409054096209445
413,58.750295126419076,31.392856579713843
414,58.75029512583395,31.3848289930166
415,58.72131526647138,31.37856560634153
416,58.72131526614227,31.35918661499692
417,58.71692210498029,31.358307373705873
418,58.704671085260074,31.357675923686553
419,58.70467108512124,31.334698885650408
420,58.69960122777682,31.330326666762204
421,58.668531834541,31.2747021692516
422,58.63727355143466,31.27085417527249
423,58.62457270311337,31.139642309141806
424,58.616774149384206,31.136416781818298
425,58.61214878131968,31.120488976747918
426,57.57065012984371,31.02503554391665
427,57.568953612237635,31.002400262419126
428,57.567899680143526,31.000148775175056
429,57.56723214452819,30.87556995660723
430,57.202833039960296,30.85503111631496
431,57.20254831008517,30.851785438389122
432,57.20235664338967,30.83537740177325
433,57.15362217232157,30.815274564025366
434,57.153530514046416,30.813244392667542
435,57.152458251151685,30.78629381944984
436,57.152411804641226,30.755322324164077
437,57.152378201929686,30.70972723787972
438,57.152353692989344,30.69324723458803
439,57.152335701147685,30.615078346200807
440,57.152322426564055,30.593594134658815
441,57.152312593980966,30.588293911944096
442,57.15230528893049,30.50977503870659
443,57.1522998491727,30.355927961117438
444,57.15229579130873,30.231318374606474
445,57.15203796467334,30.215881603003588
446,57.15203569833335,30.109446734100686
447,57.152034002485756,30.107240088487107
448,57.15203273279798,29.998469185997106
449,57.15203178176847,29.992266431857097
450,57.152031069191764,29.972040922957945
451,57.152030535150416,29.944318207341137
452,56.45652346118292,29.944191789305517
453,56.03041406777415,29.9296625852051
454,56.030413842761696,29.919290096850926
455,55.74638709523303,29.916172435138254
456,55.74638696871493,29.909941615796733
457,55.74638687383873,29.904617312098377
458,55.74638680268856,29.900454959490304
459,55.74638674932985,29.89688247183803
460,55.746386709313015,29.89543893831696
461,55.74638667930159,29.894081496893243
462,55.74638665679371,29.85222797527637
