世代,0,1,2,3,4,5,6,7,8,9
29,23338.819601682222,20517.397529238126,19274.45799276251,21683.48830700617,18404.088377850472,27770.0826962341,34688.859386950906,23943.8893847035,25934.21276773733,21154.601852278476
30,23338.819601682222,20517.397529238126,19274.45799276251,19859.825513703217,18404.088377850472,27770.0826962341,34688.859386950906,23943.8893847035,25934.21276773733,21154.601852278476
31,23338.819601682222,18125.561385322406,19274.45799276251,19859.825513703217,18404.088377850472,21115.137793399066,34688.859386950906,23943.8893847035,16961.384889265668,21154.601852278476
32,20742.952263754236,13717.166882486894,19274.45799276251,19859.825513703217,18404.088377850472,21115.137793399066,33327.752187207174,23943.8893847035,16961.384889265668,15934.281361333526
33,20742.952263754236,13717.166882486894,17370.953772744564,19859.825513703217,16460.25791165269,20282.278888566052,20495.135621028825,23943.8893847035,16961.384889265668,15934.281361333526
34,20742.952263754236,13717.166882486894,17370.953772744564,19859.825513703217,16460.25791165269,20282.278888566052,20495.135621028825,23749.878655669843,16961.384889265668,13695.511955992379
35,15829.872536637644,13098.847955762607,17370.953772744564,19859.825513703217,16009.156342333217,20282.278888566052,20495.135621028825,23749.878655669843,16961.384889265668,13695.511955992379
36,15829.872536637644,13098.847955762607,17370.953772744564,18974.13285631444,16009.156342333217,20282.278888566052,20495.135621028825,23349.64762878492,16961.384889265668,13695.511955992379
37,15829.872536637644,13098.847955762607,17370.953772744564,18974.13285631444,16009.156342333217,20282.278888566052,20495.135621028825,23349.64762878492,16961.384889265668,13695.511955992379
38,15829.872536637644,10562.788364510623,17370.953772744564,17764.121088192165,16009.156342333217,20282.278888566052,17725.806266625645,21680.022260333288,16961.384889265668,13695.511955992379
39,15829.872536637644,10562.788364510623,17370.953772744564,17764.121088192165,16009.156342333217,20282.278888566052,17725.806266625645,21680.022260333288,16961.384889265668,13695.511955992379
40,15829.872536637644,10562.788364510623,15148.288150742683,17214.795392444183,16009.156342333217,20282.278888566052,17133.65684321799,21680.022260333288,16961.384889265668,13695.511955992379
41,15829.872536637644,10562.788364510623,15148.288150742683,17214.795392444183,15199.205046564413,20282.278888566052,17133.65684321799,21680.022260333288,16961.384889265668,13695.511955992379
42,15829.872536637644,10562.788364510623,15148.288150742683,17214.795392444183,15199.205046564413,19459.85196790394,17133.65684321799,21207.236528713525,16961.384889265668,13695.511955992379
43,15829.872536637644,10562.788364510623,15148.288150742683,17214.795392444183,15199.205046564413,19459.85196790394,17133.65684321799,21207.236528713525,16961.384889265668,13695.511955992379
44,15829.872536637644,10562.788364510623,15148.288150742683,11778.078796557304,14869.31520943045,19459.85196790394,17133.65684321799,21207.236528713525,16961.384889265668,13695.511955992379
45,15829.872536637644,10562.788364510623,15148.288150742683,11778.078796557304,13762.008880482706,19459.85196790394,17133.65684321799,21207.236528713525,16961.384889265668,13695.511955992379
46,12159.441881117937,7664.2925235030725,12143.58497463005,11778.078796557304,13762.008880482706,19459.85196790394,17133.65684321799,21207.236528713525,16961.384889265668,13695.511955992379
47,12159.441881117937,7664.2925235030725,12143.58497463005,11778.078796557304,13762.008880482706,19459.85196790394,17133.65684321799,20913.680447929477,16961.384889265668,13695.511955992379
48,12159.441881117937,7664.2925235030725,12143.58497463005,11778.078796557304,12351.093153891976,15303.7588998363,17133.65684321799,20451.84334087206,16961.384889265668,13695.511955992379
49,12159.441881117937,7664.2925235030725,12143.58497463005,11778.078796557304,12351.093153891976,15303.7588998363,17133.65684321799,20451.84334087206,16961.384889265668,13695.511955992379
50,12159.441881117937,7664.2925235030725,12143.58497463005,11633.915652149208,12351.093153891976,15303.7588998363,17133.65684321799,20451.84334087206,16375.061454867859,13695.511955992379
51,12159.441881117937,7664.2925235030725,12143.58497463005,11633.915652149208,12351.093153891976,15303.7588998363,17133.65684321799,20218.453301650396,16375.061454867859,13695.511955992379
52,12159.441881117937,7664.2925235030725,12143.58497463005,11633.915652149208,12351.093153891976,15303.7588998363,17133.65684321799,20218.453301650396,16375.061454867859,13695.511955992379
53,12159.441881117937,7664.2925235030725,12143.58497463005,11633.915652149208,12351.093153891976,15303.7588998363,17133.65684321799,19049.52733051818,16375.061454867859,13695.511955992379
54,12159.441881117937,7664.2925235030725,10564.914581091958,11633.915652149208,11151.57371383516,15303.7588998363,17133.65684321799,19049.52733051818,16375.061454867859,13695.511955992379
55,12159.441881117937,7664.2925235030725,10564.914581091958,11633.915652149208,11151.57371383516,15303.7588998363,17133.65684321799,19049.52733051818,16375.061454867859,13695.511955992379
56,12159.441881117937,7664.2925235030725,10564.914581091958,11633.915652149208,11151.57371383516,15303.7588998363,16815.901277796795,19049.52733051818,15920.523454286871,13695.511955992379
57,8850.029758514684,7664.2925235030725,10564.914581091958,11633.915652149208,11151.57371383516,15303.7588998363,16815.901277796795,19049.52733051818,15920.523454286871,13695.511955992379
