世代,0,1,2,3,4,5,6,7,8,9
28,12032.737199701725,6174.241396927882,4537.326290474775,3021.589842785374,3809.865183644234,6507.897252103152,10965.778551043899,8961.86851452933,5755.207937311688,14121.697543822816
29,12032.737199701725,6174.241396927882,4537.326290474775,3021.589842785374,3809.865183644234,3326.1546015361587,10965.778551043899,7039.1703440308165,5755.207937311688,14121.697543822816
30,12032.737199701725,6174.241396927882,4537.326290474775,3021.589842785374,3809.865183644234,3326.1546015361587,5548.361457259702,6667.941134725703,3868.2467288534885,14121.697543822816
31,8019.041594443952,6174.241396927882,3708.803382565116,3021.589842785374,3809.865183644234,3326.1546015361587,5548.361457259702,5052.637993177223,3868.2467288534885,12953.512099718053
32,8019.041594443952,6174.241396927882,3708.803382565116,3021.589842785374,3809.865183644234,3326.1546015361587,5548.361457259702,1649.1966210900655,3868.2467288534885,12048.393504103851
33,8019.041594443952,6174.241396927882,3708.803382565116,3021.589842785374,3809.865183644234,3326.1546015361587,3773.483626370429,1649.1966210900655,3702.088478210025,12048.393504103851
34,8019.041594443952,5853.440959677765,3708.803382565116,3021.589842785374,3809.865183644234,2422.3002543418825,3773.483626370429,1649.1966210900655,3702.088478210025,10111.900071929116
35,8019.041594443952,5853.440959677765,3708.803382565116,1959.7266063086709,3217.917587798987,2422.3002543418825,3773.483626370429,1649.1966210900655,3702.088478210025,3818.9588375673575
36,8019.041594443952,5853.440959677765,3708.803382565116,1959.7266063086709,3217.917587798987,2422.3002543418825,3080.005166291454,1649.1966210900655,3702.088478210025,3818.9588375673575
37,8019.041594443952,4192.005827212662,2088.000078995756,1959.7266063086709,3217.917587798987,2422.3002543418825,3080.005166291454,1649.1966210900655,3702.088478210025,3818.9588375673575
38,8019.041594443952,4192.005827212662,2088.000078995756,1959.7266063086709,3217.917587798987,2422.3002543418825,3080.005166291454,1649.1966210900655,3702.088478210025,3818.9588375673575
39,8019.041594443952,4192.005827212662,2088.000078995756,1959.7266063086709,3217.917587798987,2422.3002543418825,3080.005166291454,1649.1966210900655,3565.4100550040516,3818.9588375673575
40,8019.041594443952,1434.0627185771432,2006.3928082968116,1774.44618156352,3217.917587798987,2422.3002543418825,3080.005166291454,1649.1966210900655,3565.4100550040516,3818.9588375673575
41,8019.041594443952,1434.0627185771432,2006.3928082968116,1774.44618156352,3217.917587798987,2422.3002543418825,3080.005166291454,1649.1966210900655,3565.4100550040516,3818.9588375673575
42,4885.278579647399,1434.0627185771432,2006.3928082968116,1774.44618156352,3217.917587798987,2422.3002543418825,3080.005166291454,1649.1966210900655,3509.7003046605696,3818.9588375673575
43,4885.278579647399,1434.0627185771432,2006.3928082968116,1774.44618156352,3217.917587798987,2422.3002543418825,3080.005166291454,1649.1966210900655,3509.7003046605696,3081.2944198191435
44,4885.278579647399,1434.0627185771432,2006.3928082968116,1774.44618156352,3217.917587798987,2422.3002543418825,2172.2940401701594,1649.1966210900655,2963.406246352886,3081.2944198191435
45,4885.278579647399,1434.0627185771432,1756.831097586707,1774.44618156352,2433.0458722798357,2422.3002543418825,2172.2940401701594,1649.1966210900655,2963.406246352886,3081.2944198191435
46,3499.3845386097832,673.0021721329406,1756.831097586707,1774.44618156352,2433.0458722798357,2422.3002543418825,2172.2940401701594,1649.1966210900655,2925.0773258078775,1866.9752603048405
